author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,low,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_re,ck_reliability,ck_reliability_name,ck_normed,comp_type,comp_measure,comp_format,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,corr,table,ckre,compre,ckre2,compre2
"O'reilly & Mcnamara, 2007a",96,96,220,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (biology),0,0,0.61,0.61,Cronbach's alpha,0,RC,Comprehension questions (bridging),1,0.89,Cronbach's alpha,0,0,1,143,0.55,,1,0,,1
"O'reilly & Mcnamara, 2007a",96,96,221,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Cell knowledge,1,2,0.98,0.98,IRR,0,RC,Comprehension questions (bridging),1,0.89,Cronbach's alpha,0,0,0,143,0.48,,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,222,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Biology cell combined,1,3,,,,0,RC,Comprehension questions (bridging),1,0.89,Cronbach's alpha,0,0,0,143,0.58,,,0,0,1
"O'reilly & Mcnamara, 2007a",96,96,223,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (humanity),0,0,0.76,0.76,Cronbach's alpha,0,RC,Comprehension questions (total),1,0.89,Cronbach's alpha,0,1,1,143,0.38,,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,224,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Prior knowledge tests (biology),0,0,0.61,0.61,Cronbach's alpha,0,RC,Comprehension questions (total),1,0.89,Cronbach's alpha,0,0,1,143,0.54,,1,0,,1
"O'reilly & Mcnamara, 2007a",96,96,225,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Cell knowledge,1,2,0.98,0.98,IRR,0,RC,Comprehension questions (total),1,0.89,Cronbach's alpha,0,0,0,143,0.45,,0,0,1,1
"O'reilly & Mcnamara, 2007a",96,96,226,0,13,4,2,,,,,99,44,,,,,,,,,,1,,1,,Biology cell combined,1,3,,,,0,RC,Comprehension questions (total),1,0.89,Cronbach's alpha,0,0,0,143,0.58,,,0,0,1
"O'Reilly & McNamara, 2007b",97,97,227,0,10.5,3,1,0,,,,,,,,,,,,,,3,1,,1,,science knowledge,0,0,0.74,0.74,Cronbach's alpha,0,RC,Science comprehension passage (multiple choice),0,0.83,Cronbach's alpha,0,0,0,1389,0.505,table 5,0,0,1,1
"O'Reilly & McNamara, 2007b",97,97,228,0,10.5,3,1,0,,,,,,,,,,,,,,3,1,,1,,science knowledge,0,0,0.74,0.74,Cronbach's alpha,0,RC,Science comprehension passage (open-ended),1,0.87,Cronbach's alpha,0,0,0,1290,0.549,,0,0,1,1
"O'Reilly et al., 2019",98,98a,229,0,10.5,3,1,,,,,,,,,,,,,,,,1,,1,,topical vocabulary and factual knowledge test,1,3,0.91,0.91,Cronbach's alpha,0,RC,scenario-based assessment on the topic of ecosystems,0,0.88,Cronbach's alpha,0,0,0,835,0.18,p.4,0,0,1,1
"O'Reilly et al., 2019",98,98b,230,0,10.5,3,1,,,,,,,,,,,,,,,,1,,1,,topical vocabulary and factual knowledge test,1,3,0.91,0.91,Cronbach's alpha,0,RC,scenario-based assessment on the topic of ecosystems,0,0.88,Cronbach's alpha,0,0,0,1356,0.81,,0,0,1,1
"Ozuru et al., 2007",100,100a,231,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_open ended (text-based),1,0.85,IRR,0,0,0,21,0.164,table 2,1,0,,1
"Ozuru et al., 2007",100,100a,232,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_open ended (local),1,0.85,IRR,0,0,0,21,0.571,,1,0,,1
"Ozuru et al., 2007",100,100a,233,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_open ended (global),1,0.85,IRR,0,0,0,21,0.35,,1,0,,1
"Ozuru et al., 2007",100,100a,234,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_open ended (average),1,0.85,IRR,0,0,0,21,0.566,,1,0,,1
"Ozuru et al., 2007",100,100a,235,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (text-based),0,,,0,0,0,21,0.5,,1,,,0
"Ozuru et al., 2007",100,100a,236,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (local),0,,,0,0,0,21,0.552,,1,,,0
"Ozuru et al., 2007",100,100a,237,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (global),0,,,0,0,0,21,0.179,,1,,,0
"Ozuru et al., 2007",100,100a,238,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (average),0,,,0,0,0,21,0.552,,1,,,0
"Ozuru et al., 2007",100,100b,239,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_open ended (text-based),1,0.85,IRR,0,0,0,20,-0.1,,1,0,,1
"Ozuru et al., 2007",100,100b,240,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_open ended (local),1,0.85,IRR,0,0,0,20,0.483,,1,0,,1
"Ozuru et al., 2007",100,100b,241,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_open ended (global),1,0.85,IRR,0,0,0,20,0.335,,1,0,,1
"Ozuru et al., 2007",100,100b,242,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_open ended (average),1,0.85,IRR,0,0,0,20,0.478,,1,0,,1
"Ozuru et al., 2007",100,100b,243,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (text-based),0,,,0,0,0,20,0.116,,1,,,0
"Ozuru et al., 2007",100,100b,244,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (local),0,,,0,0,0,20,0.007,,1,,,0
"Ozuru et al., 2007",100,100b,245,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (global),0,,,0,0,0,20,-0.026,,1,,,0
"Ozuru et al., 2007",100,100b,246,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,"prior domain knowledge about evolutionary psychology, the nature of sexual reproduction and the immune system",1,3,0.69,0.69,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (average),0,,,0,0,0,20,0.056,,1,,,0
"Ozuru et al., 2007",100,100c,247,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_open ended (text-based),1,0.9,IRR,0,0,0,15,0.466,table 5,0,0,1,1
"Ozuru et al., 2007",100,100c,248,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_open ended (local),1,0.9,IRR,0,0,0,15,0.674,,0,0,1,1
"Ozuru et al., 2007",100,100c,249,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_open ended (global),1,0.9,IRR,0,0,0,15,0.776,,0,0,1,1
"Ozuru et al., 2007",100,100c,250,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_open ended (average),1,0.9,IRR,0,0,0,15,0.663,,0,0,1,1
"Ozuru et al., 2007",100,100c,251,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (text-based),0,,,0,0,0,15,0.246,,0,,1,0
"Ozuru et al., 2007",100,100c,252,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (local),0,,,0,0,0,15,0.513,,0,,1,0
"Ozuru et al., 2007",100,100c,253,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (global),0,,,0,0,0,15,0.524,,0,,1,0
"Ozuru et al., 2007",100,100c,254,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,without text comprehension task_multiple choice (average),0,,,0,0,0,15,0.535,,0,,1,0
"Ozuru et al., 2007",100,100d,255,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_open ended (text-based),1,0.9,IRR,0,0,0,15,0.068,,0,0,1,1
"Ozuru et al., 2007",100,100d,256,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_open ended (local),1,0.9,IRR,0,0,0,15,-0.065,,0,0,1,1
"Ozuru et al., 2007",100,100d,257,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_open ended (global),1,0.9,IRR,0,0,0,15,0.316,,0,0,1,1
"Ozuru et al., 2007",100,100d,258,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_open ended (average),1,0.9,IRR,0,0,0,15,0.307,,0,0,1,1
"Ozuru et al., 2007",100,100d,259,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (text-based),0,,,0,0,0,15,0.052,,0,,1,0
"Ozuru et al., 2007",100,100d,260,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (local),0,,,0,0,0,15,-0.152,,0,,1,0
"Ozuru et al., 2007",100,100d,261,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (global),0,,,0,0,0,15,-0.209,,0,,1,0
"Ozuru et al., 2007",100,100d,262,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,prior domain knowledge about brain,1,3,0.73,0.73,Cronbach's alpha,0,RC,with text comprehension task_multiple choice (average),0,,,0,0,0,15,-0.148,,0,,1,0
"Parkinson & Dinsmore, 2018",101,101,263,0,11,3,1,0,,,,10,11,,,,18,,,,,,1,,1,,subject-matter knowledge,1,0,0.7,0.7,Cronbach's alpha,0,RC,Passage recall measure,0,0.66,Spearman-Brown split-half reliability,0,0,0,21,0.38,P.18,1,1,,
"Parkinson & Dinsmore, 2018",101,101,264,0,11,3,1,0,,,,10,11,,,,18,,,,,,1,,1,,subject-matter knowledge,1,0,0.7,0.7,Cronbach's alpha,0,RC,Open-ended response_structure,1,,,0,0,0,21,0.44,,1,,,0
"Parkinson & Dinsmore, 2018",101,101,265,0,11,3,1,0,,,,10,11,,,,18,,,,,,1,,1,,subject-matter knowledge,1,0,0.7,0.7,Cronbach's alpha,0,RC,Open-ended response_quality,1,,,0,0,0,21,0.22,,1,,,0
"Peverly & Sumowski, 2012",104,104,266,0,13,4,2,0,,2,87.9% native English,76,62,,16,15,88,9,0,11,,,1,,1,,general history knowledge,0,0,,,,0,RC,free recall (written),3,0.98,IRR,0,0,0,138,0.33,Table 2,,0,0,1
"Peverly & Sumowski, 2012",104,104,267,0,13,4,2,0,,2,87.9% native English,76,62,,16,15,88,9,0,11,,,1,,1,,general history knowledge,0,0,,,,0,RC,note-taking during recall,,0.98,IRR,0,0,0,138,0.28,,,0,0,1
"Peverly & Sumowski, 2012",104,104,268,0,13,4,2,0,,2,87.9% native English,76,62,,16,15,88,9,0,11,,,1,,1,,general history knowledge,0,0,,,,0,RC,"Nelson-Denny Reading Test, Form G",0,,,1,1,1,138,0.45,,,,0,0
"Peverly & Sumowski, 2012",104,104,269,0,13,4,2,0,,2,87.9% native English,76,62,,16,15,88,9,0,11,,,1,,1,,general history knowledge,0,0,,,,0,RC,Multiple-choice comprehension test: Memory recall,0,,,0,0,0,138,0.41,,,,0,0
"Peverly & Sumowski, 2012",104,104,270,0,13,4,2,0,,2,87.9% native English,76,62,,16,15,88,9,0,11,,,1,,1,,general history knowledge,0,0,,,,0,RC,Multiple-choice comprehension test: Inference,0,,,0,0,0,138,0.4,,,,0,0
"Ranellucci et al., 2013",107,107,271,0,13,4,2,,,,,57,16,,,,,,,,,,0,Canada,1,,Force Conceptory Inventory (Newtonian physics),1,0,,,,0,RC,recall,2,0.86,Cohen’s Kappa,0,0,0,73,0.29,table2,,0,0,1
"Reynolds & Perin, 2009",109,109,272,0,7,2,1,0,,2,17% nonnative,59,62,,,,,,,,,3,0,Canada,1,,Content knowledge test,1,3,,,,0,RC,Gates-MacGinitie Reading Tests-Second Canadian Edition,0,0.88,KR-20,1,1,1,121,0.22,Table 5,,0,0,1
"Reynolds & Perin, 2009",109,109,273,0,7,2,1,0,,2,17% nonnative,59,62,,,,,,,,,3,0,Canada,1,,Content knowledge test,1,3,,,,0,RC,Main idea measure (written; proportion of main ideas in the source texts present),3,0.97,IRR,0,0,0,121,0.23,,,0,0,1
"Roohani et al., 2017",111,111,274,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Ranking Measure,0,4,,,,0,RC,reading comprehension (Neanderthal),0,,,0,0,0,58,0.111,Table 1,,,0,0
"Roohani et al., 2017",111,111,275,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Ranking Measure,0,4,,,,0,RC,reading comprehension (Jazz Music),0,,,0,0,0,58,0.108,,,,0,0
"Roohani et al., 2017",111,111,276,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Ranking Measure,0,4,,,,0,RC,reading comprehension (GLobal Warming),0,,,0,0,0,58,0.106,,,,0,0
"Roohani et al., 2017",111,111,277,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Ranking Measure,0,4,,,,0,RC,reading comprehension (Waste Material),0,,,0,0,0,58,0.181,,,,0,0
"Roohani et al., 2017",111,111,278,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Ranking Measure,0,4,,,,0,RC,reading comprehension (Chemistry),0,,,0,0,0,58,0.017,,,,0,0
"Roohani et al., 2017",111,111,279,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Ranking Measure,0,4,,,,0,RC,reading comprehension (Modern Family),0,,,0,0,0,58,0.133,,,,0,0
"Roohani et al., 2017",111,111,280,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Rating Scale,0,4,,,,0,RC,reading comprehension (Neanderthal),0,,,0,0,0,58,-0.03,,,,0,0
"Roohani et al., 2017",111,111,281,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Rating Scale,0,4,,,,0,RC,reading comprehension (Jazz Music),0,,,0,0,0,58,0.25,,,,0,0
"Roohani et al., 2017",111,111,282,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Rating Scale,0,4,,,,0,RC,reading comprehension (GLobal Warming),0,,,0,0,0,58,0.273,,,,0,0
"Roohani et al., 2017",111,111,283,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Rating Scale,0,4,,,,0,RC,reading comprehension (Waste Material),0,,,0,0,0,58,0.144,,,,0,0
"Roohani et al., 2017",111,111,284,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Rating Scale,0,4,,,,0,RC,reading comprehension (Chemistry),0,,,0,0,0,58,0.058,,,,0,0
"Roohani et al., 2017",111,111,285,0,13,4,2,,,0,Iranian,48,10,,0,0,58,0,0,0,,,0,Iran,1,,Topic Familiarity Rating Scale,0,4,,,,0,RC,reading comprehension (Modern Family),0,,,0,0,0,58,0.39,,,,0,0
"Rydland & Gr_ver, 2019",113,113,286,0,5,1,0,0,,2,,47,55,,,,,,,,,,0,Norway,0,Norwegian,prior topic knowledge on global warming.,1,3,0.84,0.84,Cohen’s κ,0,RC,pre-discussion comprehension (multiple choice and open-ended),0,0.84,Cronbach's alpha,0,0,0,102,0.67,table 2,0,0,1,1
"Rydland et al., 2012",114,114,287,0,5,1,0,1,0,0,Turkish (N = 37) or Urdu (N = 30) as their first language and Norwegian as their second.,29,38,,,,,,,,,0,0,Norway,0,Norwegian,prior topic knowledge on global warming.,1,3,0.84,0.84,Cohen’s κ,0,RC,Norwegian translation of Woodcock Reading Mastery Test-Passage Comprehension,4,0.87,Cronbach's alpha,0,1,1,67,0.49,table 1,0,0,1,1
"Rydland et al., 2012",114,114,288,0,5,1,0,1,0,0,Turkish (N = 37) or Urdu (N = 30) as their first language and Norwegian as their second.,29,38,,,,,,,,,0,0,Norway,0,Norwegian,prior topic knowledge on global warming.,1,3,0.84,0.84,Cohen’s κ,0,RC,Content-area reading comprehension,0,0.86,Cohen’s κ,0,0,0,67,0.64,,0,0,1,1
"Sabatini et al., 2016",115,115a,289,0,3,1,0,,,,,77,64,,,,,,,,,,1,,1,,specific background knowledge about chickens,1,,,,,0,RC,"overall comprehension (literal comprehension, inferential comprehension (ability to integrate information across multiple sentences and elaborate beyond the text), vocabulary paraphrasing, fact vs. opinion decision making, and sequencing (i.e., text structure) abilities.)",,,,0,0,0,139,0.36,,,,0,0
"Sabatini et al., 2016",115,115b,290,0,1,0,0,,,,,203,192,,,,,,,,,,1,,1,,specific background knowledge about chickens,1,,,,,0,RC,"overall comprehension (literal comprehension, inferential comprehension (ability to integrate information across multiple sentences and elaborate beyond the text), vocabulary paraphrasing, fact vs. opinion decision making, and sequencing (i.e., text structure) abilities.)",,,,0,0,0,393,0.32,,,,0,0
"Sabatini et al., 2016",115,115c,291,0,2,0,0,,,,,185,220,,,,,,,,,,1,,1,,specific background knowledge about chickens,1,,,,,0,RC,"overall comprehension (literal comprehension, inferential comprehension (ability to integrate information across multiple sentences and elaborate beyond the text), vocabulary paraphrasing, fact vs. opinion decision making, and sequencing (i.e., text structure) abilities.)",,,,0,0,0,403,0.21,,,,0,0
"Sabatini et al., 2016",115,115d,292,0,0,0,0,,,,,144,146,,,,,,,,,,1,,1,,specific background knowledge about chickens,1,,,,,0,RC,"overall comprehension (literal comprehension, inferential comprehension (ability to integrate information across multiple sentences and elaborate beyond the text), vocabulary paraphrasing, fact vs. opinion decision making, and sequencing (i.e., text structure) abilities.)",,,,0,0,0,197,0.16,,,,0,0
"Samuelstuen & Bra_ten, 2005",116,116,293,0,10,3,1,0,,2,A majority (over 90%) of the participants were white native speakers of Norwegian.,43,35,,0,78,0,0,0,0,,1,0,Norway,0,Norwegian,"prior knowledge about the topic of the text. The content of the items referred to concepts that were discussed in the text (e.g., socialization, norms, and conformity).",1,0,0.58,0.58,Kuder–Richardson 20,0,RC,Text comprehension measure.,0,0.8,Kuder–Richardson 20,0,0,0,78,0.639,table 1,1,0,,1
"S�nchez er al., 2017",117,117,294,0,6.5,2,1,0,,1,,43,149,,,,,,,,,3,0,Chile,0,Spanish,Prior knowledge,0,2,0.7,0.7,Cronbach's alpha,0,RC,Spanish PROLEC-SE battery_General comprehension skills,1,0.87,Cronbach's alpha,1,1,1,192,0.62,table 2,1,0,,1
"S�nchez er al., 2017",117,117,295,0,6.5,2,1,0,,1,,43,149,,,,,,,,,3,0,Chile,0,Spanish,Prior knowledge,0,2,0.7,0.7,Cronbach's alpha,0,RC,written summary - main ideas,3,0.9,IRR,0,0,0,192,0.44,,1,0,,1
"S�nchez er al., 2017",117,117,296,0,6.5,2,1,0,,1,,43,149,,,,,,,,,3,0,Chile,0,Spanish,Prior knowledge,0,2,0.7,0.7,Cronbach's alpha,0,RC,written summary - causal links,3,0.9,IRR,0,0,0,192,0.4,,1,0,,1
"S�nchez er al., 2017",117,117,297,0,6.5,2,1,0,,1,,43,149,,,,,,,,,3,0,Chile,0,Spanish,Prior knowledge,0,2,0.7,0.7,Cronbach's alpha,0,RC,written summary - global,3,0.9,IRR,0,0,0,192,0.45,,1,0,,1
"Schmidt et al., 2017",118,118,298,0,10,3,1,0,,,,147,130,,,,,,,,,,0,Germany,0,German,"Prior domain-specific content knowledge (biological aspects of pregnancy, medicine, Christian values, philosophical theories, federal laws of Germany, living conditions of people with special needs in Germany, and consequences of abortion)",1,4,0.69,0.69,Cronbach's alpha,0,RC,written recall,2,0.71,Cohen's Kappa,0,0,0,242,0.3,p.100,1,0,,1
"Schmidt et al., 2017",118,118,299,0,10,3,1,0,,,,147,130,,,,,,,,,,0,Germany,0,German,"Prior domain-specific content knowledge (biological aspects of pregnancy, medicine, Christian values, philosophical theories, federal laws of Germany, living conditions of people with special needs in Germany, and consequences of abortion)",1,4,0.69,0.69,Cronbach's alpha,0,RC,written recall,2,0.93,Cohen's Kappa,0,0,0,242,0.23,,1,0,,1
"Schmidt et al., 2017",118,118,300,0,10,3,1,0,,,,147,130,,,,,,,,,,0,Germany,0,German,"Intelligence Structure Test 2000 R_General knowledge (geography, chemistry, biology, physics, mathematics, economy, music, and everyday knowledge)",0,0,,,,0,RC,written recall,2,0.71,Cohen's Kappa,0,0,0,242,-0.09,,,0,0,1
"Schmidt et al., 2017",118,118,301,0,10,3,1,0,,,,147,130,,,,,,,,,,0,Germany,0,German,"Intelligence Structure Test 2000 R_General knowledge (geography, chemistry, biology, physics, mathematics, economy, music, and everyday knowledge)",0,0,,,,0,RC,written recall,2,0.93,Cohen's Kappa,0,0,0,242,-0.13,,,0,0,1
"Shapiro, 2004",121,121a,302,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,topic knowledge of human memory processes,1,0,,,,0,RC,multiple choice - SD - detailed text,0,,,0,0,0,21,0.538,table 3,,,0,0
"Shapiro, 2004",121,121a,303,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,topic knowledge of human memory processes,1,0,,,,0,RC,multiple choice - SD - sparse text,0,,,0,0,0,21,0.297,,,,0,0
"Shapiro, 2004",121,121a,304,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,topic knowledge of human memory processes,1,0,,,,0,RC,multiple choice - DO - detailed text,0,,,0,0,0,21,0.639,,,,0,0
"Shapiro, 2004",121,121a,305,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,topic knowledge of human memory processes,1,0,,,,0,RC,multiple choice - DO - sparse text,0,,,0,0,0,21,0.495,,,,0,0
"Shapiro, 2004",121,121b,306,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,world history domain knowledge,0,2,,,,0,RC,multiple choice - SD - detailed text,0,,,0,0,0,24,0.679,table 1,,,0,0
"Shapiro, 2004",121,121b,307,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,world history domain knowledge,0,2,,,,0,RC,multiple choice - SD - sparse text,0,,,0,0,0,24,0.541,,,,0,0
"Shapiro, 2004",121,121b,308,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,world history domain knowledge,0,2,,,,0,RC,multiple choice - DO - detailed text,0,,,0,0,0,24,0.583,,,,0,0
"Shapiro, 2004",121,121b,309,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,world history domain knowledge,0,2,,,,0,RC,multiple choice - DO - sparse text,0,,,0,0,0,24,0.244,,,,0,0
"Singer & Alexander, 2017",123,123,310,0,13,4,2,,,,,61,29,,13,,52,13,,,,,1,,1,,"topic knowledge (childhood ADHD, allergies, asthma, and autism)",1,4,,,,0,RC,reading comprehension task: 3 short-construction questions for each passage,2,0.985,IRR,0,0,0,90,0.13,p.163,,0,0,1
"Singer Trakhman et al., 2022",124,124,311,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,self-reported topic knowledge,1,4,,,,0,RC,Reading Comprehension Posttests (total),1,0.95,IRR,0,0,0,54,0.15,table 1,,0,0,1
"Singer Trakhman et al., 2022",124,124,312,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,self-reported topic knowledge,1,4,,,,0,RC,Main idea item,3,0.95,IRR,0,0,0,54,0.14,,,0,0,1
"Singer Trakhman et al., 2022",124,124,313,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,self-reported topic knowledge,1,4,,,,0,RC,Total detail items,1,0.95,IRR,0,0,0,54,0.14,,,0,0,1
"Singer Trakhman et al., 2022",124,124,314,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,self-reported topic knowledge,1,4,,,,0,RC,Visual-only items,1,0.95,IRR,0,0,0,54,0.21,,,0,0,1
"Singer Trakhman et al., 2022",124,124,315,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,self-reported topic knowledge,1,4,,,,0,RC,Text-only items,1,0.95,IRR,0,0,0,54,-0.05,,,0,0,1
"Singer Trakhman et al., 2022",124,124,316,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,self-reported topic knowledge,1,4,,,,0,RC,Text-visual items,1,0.95,IRR,0,0,0,54,0.2,,,0,0,1
"Singer Trakhman et al., 2022",124,124,317,0,13,4,2,,,,,42,12,,4,4,27,13,,6,,,1,,1,,demonstrated topic knowledge pretest,1,3,0.94,0.94,IRR,0,RC,Reading Comprehension Posttests (total),1,0.95,IRR,0,0,0,54,0.19,,0,0,1,1
