author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,low,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_re,ck_reliability,ck_reliability_name,ck_normed,comp_type,comp_measure,comp_format,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,corr,table,ckre,compre,ckre2,compre2
"Kern, 2014",71,71,151,1,13,4,2,0,,2,93.3% spoke English as their first language.,81,9,,1,4,81,2,0,1,,,1,,1,,General history background knowledge test.,1,0,0.6,0.6,Cronbach's alpha,0,RC,Reading Comprehension subtest of the Scholastic Abilities Test for Adults,0,0.92,internal consistency,1,1,1,90,0.46,table 4,1,0,,1
"Kim et al., 2018",73,73,152,0,11.58,,,0,1,0,Spanish,19,29,,,,,,,,,,0,Mexico,1,,Reader background knowledge,1,0,,,,0,RC,L2 reading proficiency: Level 10/12 Gates-MacGinite Reading Test,0,,,1,1,1,48,0.085,table 2,,,0,0
"Kitao, 1988",75,75,153,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_main idea,2,0.91,IRR,0,0,0,96,0.37,table 5,0,0,1,1
"Kitao, 1988",75,75,154,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_title,2,0.88,IRR,0,0,0,96,0.29,,0,0,1,1
"Kitao, 1988",75,75,155,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_idea units,2,0.92,IRR,0,0,0,96,0.31,,0,0,1,1
"Kitao, 1988",75,75,156,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,proficiency (multiple choice),0,0.67,Cronbach's alpha,0,0,0,96,0.1,,0,1,1,
"Kitao, 1988",75,75,157,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_main idea,2,0.91,IRR,0,0,0,96,0.27,table 6,0,0,1,1
"Kitao, 1988",75,75,158,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_title,2,0.88,IRR,0,0,0,96,0.19,,0,0,1,1
"Kitao, 1988",75,75,159,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_idea units,2,0.92,IRR,0,0,0,96,0.2,,0,0,1,1
"Kitao, 1988",75,75,160,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,proficiency (multiple choice),0,0.67,Cronbach's alpha,0,0,0,96,0.05,,0,1,1,
"Kitao, 1988",75,75,161,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_main idea,2,0.91,IRR,0,0,0,96,0.17,table 7,0,0,1,1
"Kitao, 1988",75,75,162,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_title,2,0.88,IRR,0,0,0,96,0.1,,0,0,1,1
"Kitao, 1988",75,75,163,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,written recall_idea units,2,0.92,IRR,0,0,0,96,0.21,,0,0,1,1
"Kitao, 1988",75,75,164,1,,,,,,0,East Asian nonnative English speakers,,,,,,,96,,,,,1,,1,,prior knowlege,0,2,0.87,0.87,IRR,0,RC,proficiency (multiple choice),0,0.67,Cronbach's alpha,0,0,0,96,0.28,,0,1,1,
"Klauda & Guthrie, 2008",76,76d,165,0,5,1,0,0,,2,4.8% received ESL,140,138,,57,25,181,8,0,7,,3,1,,1,,Background knowledge assessment,0,0,0.63,0.63,Cronbach's alpha,0,RC,Gates-MacGinitie Reading Test (GMRT) Forms S & T,0,,,1,1,1,278,0.67,table 2,1,,,0
"Klauda & Guthrie, 2008",76,76d,166,0,5,1,0,0,,2,4.8% received ESL,140,138,,57,25,181,8,0,7,,3,1,,1,,Background knowledge assessment,0,0,0.63,0.63,Cronbach's alpha,0,RC,Inferencing assessment,5,0.52,Cronbach's alpha,0,1,1,278,0.34,,1,1,,
"Taboada & Guthrie, 2006",76,76a,167,0,3,1,0,0,,,,57,68,,32,4,69,7,,12,,3,1,,1,,prior knowledge test (ecology),1,2,0.8,0.8,IRR,0,RC,multiple text comprehension,1,0.7,IRR,0,0,0,125,0.45,table3,0,1,1,
"Taboada & Guthrie, 2006",76,76a,168,0,3,1,0,0,,,,57,68,,32,4,69,7,,12,,3,1,,1,,prior knowledge test (ecology),1,2,0.8,0.8,IRR,0,RC,Gates-MacGinitie Reading Test,0,,,1,1,1,125,0.41,,0,,1,0
"Taboada & Guthrie, 2006",76,76b,169,0,4,1,0,0,,,,118,117,,48,17,147,9,,11,,3,1,,1,,prior knowledge test (ecology),1,2,0.8,0.8,IRR,0,RC,multiple text comprehension,1,0.7,IRR,0,0,0,235,0.4,,0,1,1,
"Taboada & Guthrie, 2006",76,76b,170,0,4,1,0,0,,,,118,117,,48,17,147,9,,11,,3,1,,1,,prior knowledge test (ecology),1,2,0.8,0.8,IRR,0,RC,Gates-MacGinitie Reading Test,0,,,1,1,1,235,0.48,,0,,1,0
"Taboada et al., 2009",76,76c,171,0,4,1,0,,,,,108,97,,35,15,138,8,0,9,,3,1,,1,,background knowledge ,1,2,0.77,0.77,IRR,0,RC,Multiple-text reading comprehension (written retell),1,0.8,IRR,0,0,0,205,0.41,table 3,0,0,1,1
"Taboada et al., 2009",76,76c,172,0,4,1,0,,,,,108,97,,35,15,138,8,0,9,,3,1,,1,,background knowledge ,1,2,0.77,0.77,IRR,0,RC,Gates–MacGinitie Reading Comprehension Test,0,0.75,across-time reliability,1,1,1,205,0.39,,0,0,1,1
"Kobayashi, 2009",77,77,173,0,13,4,2,,,1,Japanese,106,60,,0,0,0,166,0,0,,,0,Japan,0,Japanese,Topic knowledge,1,2,0.875,0.875,IRR,0,RC,Recall (in writing),2,0.875,IRR,0,0,0,166,0.26,table 3,0,0,1,1
"Kobayashi, 2009",77,77,174,0,13,4,2,,,1,Japanese,106,60,,0,0,0,166,0,0,,,0,Japan,0,Japanese,Topic knowledge,1,2,0.875,0.875,IRR,0,RC,Comprehension of intertextual relations,1,0.885,IRR,0,0,0,166,0.06,,0,0,1,1
"Latini et al., 2021",79,79,175,0,13,4,2,,,2,7 were bilingual (Norwegian & other),44,14,,,,,,,,,,0,Norway,0,Norwegian,Prior knowledge measure,1,2,0.92,0.92,IRR,0,RC,reading comprehension measure: cloze,4,0.8,Cronbach's alpha,0,1,1,58,0.33,table 1,0,0,1,1
"Latini et al., 2021",79,79,176,0,13,4,2,,,2,7 were bilingual (Norwegian & other),44,14,,,,,,,,,,0,Norway,0,Norwegian,Prior knowledge measure,1,2,0.92,0.92,IRR,0,RC,Comprehension performance: written report,3,0.93,Cohen's Kappa,0,0,0,58,0.44,table 1,0,0,1,1
"Lawless et al., 2003",80,80,177,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,Domain knowledge,1,0,0.9,>0.9,Cronbach's alpha,0,RC,Structured free recalls (written),2,0.92,IRR,0,0,0,30,0.43,table 2,0,0,1,1
"Lawless et al., 2003",80,80,178,0,13,4,2,,,,,,,,,,,,,,,,1,,1,,Domain knowledge,1,0,0.9,>0.9,Cronbach's alpha,0,RC,Unstructured free recalls,2,0.92,IRR,0,0,0,30,0.44,,0,0,1,1
"LeLoup, 1993",81,81,179,1,10.5,3,1,,,0,English native speakers,,,,,,,,,,,1,1,,0,Spanish,Background knowledge probes,1,1,0.9,0.9,IRR,0,RC,written recall,2,0.92,Intra-rater reliability,0,0,0,206,0.05,table 6,0,0,1,1
"LeLoup, 1993",81,81,180,1,10.5,3,1,,,0,English native speakers,,,,,,,,,,,1,1,,0,Spanish,Background knowledge probes,1,1,0.9,0.9,IRR,0,RC,written recall,2,0.92,Intra-rater reliability,0,0,0,206,0.11,,0,0,1,1
"LeLoup, 1993",81,81,181,1,10.5,3,1,,,0,English native speakers,,,,,,,,,,,1,1,,0,Spanish,Background knowledge probes,1,1,0.9,0.9,IRR,0,RC,written recall,2,0.92,Intra-rater reliability,0,0,0,206,0.13,,0,0,1,1
"LeLoup, 1993",81,81,182,1,10.5,3,1,,,0,English native speakers,,,,,,,,,,,1,1,,0,Spanish,Background knowledge probes,1,1,0.9,0.9,IRR,0,RC,written recall,2,0.92,Intra-rater reliability,0,0,0,206,0.19,,0,0,1,1
"Leu et al., 2015",82,82,183,0,7,2,1,0,,2,,125,130,,,,,,,,,3,1,,1,,Prior domain knowledge of the research topic (energy drink and asthma),1,2,0.9,0.9,IRR,0,RC,Connecticut Mastery Test (CMT) reading comprehension,0,0.95,Cronbach's alpha,1,1,1,238,0.11,table 5,0,0,1,1
"Liebfreund & Conradi, 2016",83,83,184,0,4.02,1,0,0,,,Students with disabilities that required instruction in self-contained classrooms and students who could not speak conversational English were excluded.,90,87,,108,7,54,1,0,7,,3,1,,1,,WJ Academic Knowledge,0,1,0.85,0.85,,1,RC,Informational comprehension ,0,,,0,1,1,177,0.56,table 3,0,,1,0
"Marron, 2019",85,85,185,0,5,1,0,0,,1,,27,13,,0,2,37,1,0,0,,3,1,,1,,Qualitative Reading Inventory-Fifth Edition (QRI-5) concept questions,0,2,,,,0,RC,Qualitative Reading Inventory-Fifth Edition (QRI-5) - implicit,1,,,0,0,1,40,0.36,table 2,,,0,0
"Marron, 2019",85,85,186,0,5,1,0,0,,1,,27,13,,0,2,37,1,0,0,,3,1,,1,,Qualitative Reading Inventory-Fifth Edition (QRI-5) concept questions,0,2,,,,0,RC,Qualitative Reading Inventory-Fifth Edition (QRI-5) - explicit,1,,,0,0,1,40,0.44,,,,0,0
"McCarthy et al., 2018",86,86,187,0,9.87,3,1,,,2,10.4% identified as English Language Learners,,,,,,1805,,,,,3,1,,1,,domain knowledge test (relevant vocabulary recognition),1,0,0.92,0.92,Cronbach’s alpha,0,RC,comprehension pretest,0,0.76,Cronbach’s alpha,0,0,0,3560,0.24,table 3,0,0,1,1
"McCarthy et al., 2018",86,86,188,0,9.87,3,1,,,2,10.4% identified as English Language Learners,,,,,,1805,,,,,3,1,,1,,topic-specific knowledge test,1,0,0.66,0.66,Cronbach’s alpha,0,RC,comprehension pretest,0,0.76,Cronbach’s alpha,0,0,0,3560,0.23,,1,0,,1
